Plot,Nitrogens,Phosphorous,Calicium,Zinc,Magnesium,Sulphur
Plot 3,8.417559757771595,9.603482578797596,3.156794286353861,-2.081086222709824,-1.8627913575508446,15.159141772383004
Plot 4,23.761708392158862,10.123022393453706,-2.393865154146435,2.3907153148482374,-9.326712897396527,-10.61276068768988
Plot 1,14.504238381860503,7.064008298131533,12.121587288998295,6.30818062248972,6.458364702153839,-8.976346181978336
Plot 3,-0.7690365566240311,5.493164259307633,13.28199467779002,2.6953019932670883,10.852994365163381,-16.60170958975219
Plot 3,-3.984146713483579,7.919944285878233,-9.76950289790475,-5.884982410954986,10.148835960763723,-3.2947308611095876
Plot 4,9.919191715065057,5.644569260495787,-2.43608688153928,-2.0141222197542117,13.199252526352343,4.4552867403427765
Plot 1,-8.202332070206422,11.026774495053246,-6.9722340407206325,1.6301356820281099,8.243402100148682,3.9257272013910067
Plot 1,23.314587658543537,7.273070662165475,-0.20019147525518566,1.6216719783708486,-0.3272549821690349,4.3440771995389245
Plot 3,16.79440120721287,6.269356897375783,4.332496241677113,11.86271088394904,13.396638644311889,-9.699511479594737
Plot 2,0.308243478952952,7.3693606117298165,-6.597161757588241,-4.92993971199499,-8.57517539841935,10.228392683526199
Plot 3,-12.131345290908776,4.305747420940607,-2.3748785050025054,4.5279462091793725,-4.006713825124802,5.156647664150981
Plot 3,18.538723741654128,5.056771922978697,-3.031658976651988,9.445565541641448,-4.642000714232447,9.597488533193985
Plot 3,3.854601547473821,9.400827815888851,6.658138635191552,13.35724872711398,15.800560591393102,-14.034859598310465
Plot 3,17.378163119734616,5.686211442057209,5.554754696290003,-0.0219871159198064,14.427885141400756,5.803417729180109
Plot 4,-10.944276587943671,4.90617803463612,-0.7739004266980265,4.457147263600999,9.873052370449948,-7.689887159257742
Plot 1,-0.9937502295377287,8.073305505054572,6.414566977115184,4.848801785993235,15.719298652117972,-0.5759092729622566
Plot 4,5.0524369971818315,9.371408309325993,0.6265593233018771,2.9774086577664542,-3.7928278241198807,7.80928408772745
Plot 4,5.46980593764742,8.437906621330134,2.826759117391574,1.5057739938034698,8.485951198609804,3.8198424563032187
Plot 4,0.49934528520756327,8.992095371611633,18.387616722388294,4.1798769475002295,3.748255716168358,-4.6638598180138695
Plot 3,11.228499323474988,5.486409822861079,15.723688414322783,-10.661230426098427,13.46882103884914,3.0564584056597646
Plot 2,-5.676204293825943,4.1563786665163125,-5.396649895420781,5.410347450313156,3.847757674478024,-10.783817837192787
Plot 1,3.5762051497870653,10.002667303910973,11.637859343033396,2.6308895183098358,1.1505711158991883,13.352406563084665
Plot 2,6.202956317118988,6.354640322315729,11.491172435932736,0.887625516108673,10.4090851856099,1.1524438245337387
Plot 4,10.14438834058749,6.498333967089906,-4.186106310020946,12.23431097859779,13.761691671912327,13.066949498297934
Plot 4,12.116148780888897,9.656388283698115,11.550221150038885,-1.3746700939527612,-1.6834519484680168,-1.7387851838643869
Plot 2,-6.246420918378693,8.11246001880132,17.30345534730042,-0.015379945325153965,4.389243286476239,-1.712183895659246
Plot 2,-10.341141707356222,7.911775544163215,-3.980358449955311,11.95776651102367,-5.584406336416528,-3.8776810797406185
Plot 2,17.77676821898509,11.330004689802168,-2.340022568114109,-2.1603065242492834,-19.980610174929396,10.885565385237678
Plot 4,8.323140119795916,5.7129635392397144,13.14129173474802,-0.7505764146826945,7.00459631413729,-3.3848804159562826
Plot 4,-2.484865365565536,8.855680256162474,7.171962486605183,1.26487288284575,11.089053562546319,8.801358891736587
Plot 1,20.51151975522523,7.114026249794169,9.411810201916186,6.203672410647746,7.620668090867255,-0.44207157902361205
Plot 1,6.156746342928587,7.537184557726514,7.724713731203974,3.039012536766567,-14.495617177543672,-14.783669699024578
Plot 4,16.792971840638266,10.056936852825064,8.125567367425154,-4.463126735761313,1.4915056992352542,-2.1328266100781947
Plot 2,5.675184814101089,8.015671512579248,-5.611777026488664,-0.6608428156359478,-17.183477600510813,-7.611973929265634
Plot 2,25.60747924881987,8.076592158099267,13.378541652971586,-1.036772166061057,18.69701107654185,3.3051245131410374
Plot 1,22.553408424432043,9.145014674619604,14.356719939422188,1.6138947738847722,-5.86054582118086,-7.713669621070412
Plot 4,2.510358515209265,6.270094540914229,3.164874047455778,4.129218293149146,17.554036094598963,11.333775906431551
Plot 1,14.715709509543554,5.321580665321987,4.652184401489101,4.09102877943986,14.458696436841457,2.1803172568227547
Plot 1,11.453759495851475,4.910381611957932,-7.248860020445777,-6.880058770242011,-4.005903525360617,1.4016360471713494
Plot 3,18.686315575323487,3.0672868212479965,9.114038048142678,7.31970493780428,-6.327849512677449,8.903029240088244
Plot 3,-4.649234605801045,11.112414259880644,9.576459533713152,3.2628442299831173,8.503702163863382,11.675162406682762
Plot 3,11.860514599984393,4.793583268556634,4.502471864005512,8.92266023796953,-3.4432403718307096,2.819111234073135
Plot 2,15.584244868495878,6.557492752828456,13.994826878964021,4.220991636453359,6.024846421582075,-3.9408026959436153
Plot 4,-12.587394864231143,6.446373400222159,2.327382152160476,7.506614788678811,0.17172409193081695,-12.965726545009165
Plot 4,-6.832585126657751,7.614813395618201,9.516847407148802,4.332726557250634,-12.811584144656333,-3.17444781331662
Plot 4,-15.392321777601005,8.631474425078594,-3.1573147095369247,8.73112878101374,-17.30468019124459,-2.5549102198316547
Plot 4,2.3059316555544225,8.72094697671949,4.811582793006095,4.611253180088893,7.266842484945972,3.9635170769306707
